Question,Answer,Conversation#,Turn#,Context,Question Length
why the name floppy disk,"The 5.25-inch disks were dubbed floppy because the diskette packaging was a very flexible plastic envelope, unlike the rigid case used to hold today's 3.5-inch diskettes.",7662,4,"['who introduced the first floppy disk in 1967', 'The 8-inch disk later called a diskette, is known as the floppy disk drive today,  invented at IBM by Alan Shugart in 1967.', 'how many inches was the first floppy disk', 'The first floppy drives used an 8-inch disk, which evolved into the 5.25-inch disk that was used on the first IBM Personal Computer in August 1981.', 'Is the floppy disk still 5.25-inch today', 'By mid-1980s, the improved designs of the read/write heads, along with improvements in the magnetic recording media, created the less-flexible, 3.5-inch,1.44-megabyte capacity FDD in use today.']",5
is Narendra Damodardas Modi married,Narendra Damodardas Modi was engaged at age 13 to Jashodaben marrying her when he was 18.,8405,5,"['what is the number of present prime minister of india', 'Narendra Damodardas Modi is an Indian politician serving as the 14th and current Prime Minister of India since 2014.', 'what political party does Narendra Damodardas Modi belong to', 'Narendra Damodardas Modi is a member of the Bharatiya Janata Party (BJP).', 'what is special about Narendra Damodardas Modi', 'Narendra Damodardas Modi is the first prime minister outside of the Indian National Congress to win two consecutive terms with a full majority.', 'did Narendra Damodardas Modi have any controversy', ""Narendra Damodardas Modi's administration has been considered complicit in the 2002 Gujarat riots or otherwise criticised for its handling of it.""]",5
When was Gilbreth born?,"Lillie Evelyn Moller was born on May 24, 1878",4265,1,[],5
is mt vesuvius still active,"Today, Mt. Vesuvius is regarded as one of the most dangerous volcanoes in the world because of the population of 3,000,000 people living near enough to be affected.",8404,4,"['where is mount vesuvius located on the world map', 'Mount Vesuvius is located on the Gulf of Naples in Campania, Italy, about 9 km (5.6 mi) east of Naples and a short distance from the shore.', 'what kind of volcano is mt. vesuvius', 'Mt. Vesuvius is a somma-stratovolcano.', 'when did mt vesuvius erupt to kill many people', 'The eruption of Mount Vesuvius in AD 79 destroyed the Roman cities of Pompeii, Herculaneum, Oplontis and Stabiae, as well as several other settlements.']",5
Is Paulini LGBT herself?,"No, Paulini is a supporter of the LGBTI community.",3085,6,"['Where did Paulini grow up?', 'Sydney, Australia', 'Where was Paulini born?', 'Suva, Fiji', 'Did Paulini ever marry?', 'No', 'How many siblings did Paulini have?', 'Paulini is the youngest of six siblings; she has three brothers and two sisters.', ""What were Paulini's hobbies?"", 'Music']",5
who developed disposable tracheal tubes,Maeterlinck GmbH developed the disposable endotracheal tube and produced a plethora of design variations,9005,3,"['what is the difference between endotracheal and tracheostomy tube', 'An endotracheal tube is placed into the trachea through the mouth and vocal cords while a tracheostomy tube is placed by a surgical opening through the neck to the trachea.', 'what are the tracheal tubes for', 'Tracheal tubes are commonly used for airway management in the settings of general anesthesia, critical care, mechanical ventilation, and emergency medicine']",5
Where was Euronymous buried?,"Euronymous' is buried at Ski Kirkegaard Ski, Ski kommune, Akershus fylke, Norway.",7129,7,"['When was Euronymous murdered?', 'Euronymous was murdered on the night of 10 August 1993.', 'Where was Euronymous when he was murdered?', 'Euronymous was at his apartment in Oslo when he was murdered.', 'Who murdered Euronymous?', 'On the night of 10 August 1993, Vikernes stabbed Euronymous to death at his apartment in Oslo.', ""Were Euronymous' murderers caught?"", 'Vikernes was arrested on 19 August 1993 in Bergen. Many other members of the scene, including Blackthorn and Faust, were also taken in for questioning.', ""Did Euronymous' murder case go to trial?"", 'The trial began on 2 May 1994.', 'Was Varg Vikernes sentenced for his crime?', 'On 16 May 1994, Vikernes was sentenced to 21 years in prison for the murder of Euronymous.']",5
where is the jejunum located,"The jejunum is the midsection of the small intestine, connecting the duodenum to the ileum",9594,3,"['where does the most absorption of nutrients occur', 'Absorption of the majority of nutrients takes place in the jejunum.', 'how does the absorption occur in the jejunum', 'The jejunum is specialized for the absorption through its lining by enterocytes: small nutrient particles which have been previously digested by enzymes in the duodenum.']",5
is staten island heavily populated,Staten Island is the least populated of the boroughs but is the third-largest in land area at 58.5 sq mi.,9729,3,"['who was born in staten island new york', 'Famous people from Staten Island, New York include Jeff Wittek, Pete Davidson, Christina Aguilera, Nyema, Joe Gatto and many more.', 'where is staten island located', ""Staten Island is the southernmost of New York City's 5 boroughs. It is connected to Lower Manhattan via the Staten Island Ferry, which runs across New York Harbor.""]",5
what is the plaintiff,A plaintiff is the party who initiates a lawsuit (also known as an action) before a court.,8445,2,"['what are the parties in a criminal case', 'Parties in a criminal case include: plaintiff, defendant, petitioner, respondent, cross-complainant, or cross-defendant.']",4
are sharks color blind,"Sharks only have a single long-wavelength-sensitive cone, therefore are potentially totally color blind.",9898,4,"['where is the only inland lake inhabited by sharks located', 'Lake Nicaragua is the only freshwater lake containing oceanic animal life, including sharks, swordfish, and tarpon.', 'what type of habitat do sharks live in', 'Sharks can make a home in wide-open oceans, shallow waves, and sometimes, they even live in freshwater.', 'are sharks mammals', 'Although sharks give birth to their young ones like mammals, they are species of fish and not mammal.']",4
Was Giuseppe Verdi Political?,Verdi began in 1859 to take an active interest in Italian politics.,955,1,[],5
what does des moines mean,Des Moines translates literally to either from the monks or of the monks.,7899,2,"['where did the name des moines come from', 'Des Moines, Iowa, takes its name from Fort Des Moines, which was named for the Des Moines River.']",5
why was island hopping advantageous,"Leapfrogging would allow the United States forces to reach Japan quickly and not expend the time, manpower, and supplies to capture every Japanese-held island on the way.",10193,4,"['what two major battles allowed the u.s. to start the island hopping campaign', 'In the Battle of the Coral Sea, the US Navy checked a major Japanese offensive. In the Battle of Midway, US aircraft dealt a devastating blow to the Japanese navy.', 'what was island hopping during World War II', 'Island hopping was a military strategy employed by the Allies in the Pacific War against the Empire of Japan and the Axis powers during World War II.', 'how did island hopping work', 'This practice—skipping over heavily fortified islands in order to seize lightly defended locations that could support the next advance—became known as island hopping.']",5
Who is Woody Guthrie?,"Woody Guthrie was an American singer-songwriter, one of the most significant figures in American folk music.",7201,1,[],5
Where was he born?,"Carl Scheele was born in Stralsund, in western Pomerania, which at the time was a Swedish Dominion inside the Holy Roman Empire.",5519,1,[],5
who created wheel of fortune,Wheel of Fortune was created by Merv Griffin.,8721,4,"['when did wheel of fortune stop shopping for prizes', 'The shopping element was eliminated from the syndicated version on the episode that aired October 5, 1987.', 'why was the shopping removed from wheel of fortune', 'The shopping element was eliminated from Wheel of Fortune both to speed up gameplay and to alleviate the taxes paid by contestants.', 'how many episodes does the show wheel of fortune have', 'Wheel of Fortune has over 7,000 episodes (As of 31 May 2019).']",5
are beetles dangerous to humans,"There are poisonous beetles, but most are not dangerous to humans.",10095,5,"['how many species on earth have been named', 'To date, a total of 1.3 million species have been identified and described.', 'What is the most numerous animal species on earth?', 'The Coleoptera or beetles, with about 400,000 species, is the largest of all orders.', 'can you tell me about beetles', 'Beetles are a group of insects that form the order Coleoptera, in the superorder Endopterygota.', 'do beetles have wings', 'All beetles have two sets of wings.']",5
What is the Batu?,"It is a fast pace, pure dance (nritta) performed in the honor of Shiva",1857,4,"['What is Sequence?', 'Traditional Odissi repertoire sequence starts with an invocation called Mangalacharana', 'What is the invocation called Mangalacharana?', 'A shloka (hymn) in praise of a God or Goddess is sung, such as to Jagannath (an avatar of Vishnu), the meaning of which is expressed through dance', 'What happens next after Mangalacharana?', 'Mangalacharana is followed by Pushpanjali (offering of flowers) and Bhumi Pranam (salutation to mother earth).']",5
was Thurl Ravenscroft married,Ravenscroft married June Seamans in 1946.,8868,5,"[""who sang you're a mean one mr. grinch in the iconic 1966 animated tv short"", ""The song You're a Mean One Mr. Grinch was performed by Thurl Ravenscroft."", 'was the voice actor Thurl Ravenscroft known for any other roles besides mr. grinch', ""Thurl Ravenscroft is known as the booming voice behind Kellogg's Frosted Flakes animated spokesman Tony the Tiger for more than five decades."", ""when did Thurl Ravenscroft's voice acting career begin"", ""Thurl Ravenscroft's voice acting career began in 1940."", 'what did Thurl Ravenscroft do before voice acting', 'Thurl Ravenscroft studied at Otis Art Institute and achieved early success as part of a singing group called The Mellomen.']",4
who divided korea,"With the declaration of the Soviet-Japanese War, the Soviet Union occupied the north of Korea, and the United States occupied the south.",9838,3,"['why did north korea attack south korea in 1950', 'The communist leader of North Korea, Kim Il Sung, decided to attempt to reunify Korea under his control. On June 25, 1950, Kim launched a surprise invasion of South Korea.', 'why was korea divided', 'When the Japanese empire was dismantled at the end of World War Two, Korea fell victim to the Cold War. It was divided along the 38th parallel.']",3
Was Germany eventually reunited,"After the Allied Powers agreed to share the responsibility of administering Germany and its capital, this arrangement  evolved into the division of Germany as a Western and an Eastern sector.",7640,2,"['why did the allies occupy germany after ww2', 'Understanding Germany would eventually be reunified, the Allies agreed to share responsibility of administering Germany and its capital, Berlin, and each took responsibility for a part of the defeated nation.“']",4
who voices god from lucifer,In the TV show Lucifer God is portrayed by Dennis Haysbert.,10005,2,"['in the show lucifer who is his father', ""Lucifer Morningstar's father is God.""]",5
what do cougars eat,"The cougar is an ambush predator that pursues a wide variety of prey. Primary food sources are ungulates, particularly deer. It also hunts species as small as insects and rodents.",10609,4,"['is there a difference between cougars and mountain lions', 'The cougar (Puma concolor) is a large felid of the subfamily Felinae. Due to its wide range, it has many names including puma, mountain lion, red tiger, and catamount.', ""what is the cougar's range"", 'The cougar has the largest range of any wild land animal in the Americas. Its range spans 110 degrees of latitude, from northern Yukon in Canada to the southern Andes.', 'why does the cougar have the largest range of any wild land animal in the americas', 'The cougar is an adaptable, generalist species, occurring in most American habitat types.']",4
when was the goal introduced,The golden goal was introduced due to perceived failings of other means of resolving a draw (tie) in round-robin or knock-out tournaments where a winner is required.,9468,5,"['when is golden goal used in world cup', 'France 98 was the first World Cup to use it, and the hosts were the benefactors in the last-16 against Paraguay.', 'who scored the first golden goal in the 1998 world cup', 'The first golden goal in World Cup history took place in 1998, as Laurent Blanc scored to enable France to defeat Paraguay in the Round of 16.', 'who played in the 1998 world cup when the golden goal was used', 'The teams were France vs Paraguay.', 'is the golden goal used in any other sport besides association football', 'The golden goal is still used in NCAA matches and in FIH sanctioned field hockey games, as well as in FIRS sanctioned roller hockey games.']",5
Where did Jayan die?,"Jayan died in Sholavaram, near Madras, Tamil Nadu.",276,1,[],5
who starred in 8 seconds,"8 seconds stars Luke Perry, Stephen Baldwin, James Rebhorn, Carrie Snodgress, Ronnie Claire Edwards, and Cynthia Geary.",7873,3,"['when did the movie 8 seconds come out', '8 seconds was released on February 25, 1994', 'who directed 8 seconds', '8 seconds was directed by John G. Avildsen']",5
where was israel cruz born,"Israel Cruz was born in Quezon City, Philippines and at the age of 3 moved to Melbourne, Australia with his family.",9607,4,"[""what's the meaning of the name israel"", 'The meaning of the name Israel comes from Hebrew, which translates to God contends.', 'who is the most famous person with the name israel', 'Ira Gershwin, whose given name is Israel Gershowitz, is the most famous person named Israel.', 'are there any australian singers named israel', 'Israel Cruz is an Australian singer-songwriter and record producer.']",5
who was frederick pabst,"As the company’s president, German immigrant Frederick Pabst led the Pabst Brewing Company through a remarkable period of growth and it became the epitome of a successful national shipping brewery.",7523,4,"['do they still make schlitz malt liquor bull', 'Pabst Brewing Company, now headquartered in Los Angeles, continues to produce Schlitz Red Bull and Schlitz Bull Ice', 'when was pabst brewing company founded', 'The Pabst Brewing Company is an American company that dates its origins to a brewing company founded in 1844 by Jacob Best', 'who was pabst brewing company named after', 'By 1889, the company was named Pabst Brewing Company after Frederick Pabst.']",4
What was the CIO?,The Congress of Industrial Organizations (CIO) was a federation of unions that organized workers in industrial unions in the United States and Canada from 1935 to 1955.,2729,2,"['What was the AFL?', 'The American Federation of Labor (AFL) was a national federation of labor unions in the United States founded in Columbus, Ohio.']",5
where is the actress from,"Enid Diana Elizabeth Rigg was born in Doncaster, West Riding of Yorkshire, England.",8635,4,"['who does diana rigg play in the game of thrones', 'Dame Enid Diana Elizabeth Rigg, DBE played Olenna Tyrell in Game of Thrones.', 'what is the actress up to now', 'Diana Rigg is scheduled to appear in the 2020 Last Night in Soho and Black Narcissus.', 'when was diana rigg born', 'Enid Diana Elizabeth Rigg was born 20 July 1938.']",5
Was Marriage A-la-Mode reproduced?,"Yes, all the paintings were engraved and the series achieved wide circulation in print form.",29,6,"['Is marriage-a-la-mode a set of pictures?', 'In 1743–1745, William Hogarth painted the six pictures of Marriage Marriage A-la-Mode, a pointed skewering of upper-class 18th-century society.', 'What does Marriage A-la-Mode depict?', 'This moralistic warning shows the miserable tragedy of an ill-considered marriage for money.', 'When did William Hogarth finish it?', 'William Hogarth finished Marriage A-la-Mode in 1975.', 'Was Marriage A-la-Mode well received?', ""This series of paintings were not received as well as William Hogarth's other moral tales."", 'Where is Marriage A-la-Mode now?', 'Marriage A-la-Mode is currently on display at the National Portrait Gallery in London.']",5
how south is south africa,"South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.",8499,5,"['how many provincial delegates does the national council of provinces comprise of', 'The NCOP comprises 90 provincial delegates, 10 delegates for each of the nine provinces regardless of the population of the province.', 'what is the ncop', 'The National Council of Provinces (NCOP) is the upper house of the Parliament of South Africa under the (post-apartheid) constitution which came into full effect in 1997.', 'what is the purpose of the ncop', ""The NCOP's purpose is to represent the governments of the provinces, rather than directly representing the people."", 'where does the ncop meet', 'The NCOP meets at NCOP Chamber, Houses of Parliament, Cape Town, Western Cape, South Africa.']",5
What is Zulu Warrior?,"Zulu Warrior is a song on her ex-husband's second solo album, Pay Pack & Follow.",7157,4,"['What is Michelle Phillips solo album?', 'In 1977, Phillips released her first and only solo album, Victim of Romance.', 'How did Michelle Phillips solo album Victim of Romance do?', 'The record Victim of Romance was unsuccessful.', 'What happened after Michelle Phillips released Victim of Romance?', 'The same year, she sang backup vocals with former stepdaughter Mackenzie Phillips on Zulu Warrior.']",5
Do horse hooves grow?,The three layers of the hoof wall merge in a single mass and they grow downwards together.,10018,4,"['what type of hoof does a horse have', 'A horse hoof is a structure surrounding the distal phalanx of the 3rd digit which is covered by complex soft tissue and keratinised structures.', 'Where does a horseshoe get applied?', 'Horseshoes are attached on the palmar surface of the hooves, usually nailed through the insensitive hoof wall that is anatomically akin to the human toenail.', 'Does putting horseshoes on hurt the horse?', ""Since there are no nerve endings in the outer section of the hoof, a horse doesn't feel any pain when horseshoes are nailed on.""]",5
does virginia have an anthem,Our Great Virginia is the regional anthem of the U.S. state of Virginia.,8976,3,"['what is there to do in bluefield wv', 'East River Mountain Scenic Overlook is a popular Observation deck in Bluefield, West Virginia.', 'what is the nickname of virginia', ""Virginia's nicknames are Old Dominion, Mother of Presidents.""]",5
what is great expectations about,Great Expectations depicts the education of an orphan nicknamed Pip.,10646,4,"['who played tiny tim in a christmas carol 1984', 'Anthony Walters played Tiny Tim Cratchit in the 1984 film A Christmas Carol.', 'what other charles dickens books have movies besides a christmas carol', ""Besides A Christmas Carol, Charles Dickens' Oliver Twist and Great Expectations are also frequently adapted into movies."", 'what is the novel oliver twist about', 'The story of the novel, Oliver Twist ,centres on orphan Oliver Twist, born in a workhouse and sold into apprenticeship with an undertaker.']",5
Is Maria Shriver married?,Married to Arnold Schwarzenegger,3091,1,[],5
was John Witherspoon religious?,John Witherspoon was a Presbyterian minister,213,2,"['What philosophy did John Witherspoon follow?', 'John Witherspoon embraced the concepts of Scottish common sense realism.']",5
who created rocky and bullwinkle,"Rocky and His Friends and The Bullwinkle Show was created by Jay Ward, Alex Anderson, and Bill Scott.",8509,4,"['who were the characters in rocky and bullwinkle', 'The lead characters and heroes of the series were Rocket Rocky J. Squirrel, a flying squirrel, and his best friend Bullwinkle J. Moose, a dim-witted but good-natured moose.', 'who are the villains in rocky and bullwinkle', 'The scheming villains in most episodes of Rocky and Bullwinkle were the fiendish spies Boris Badenov and Natasha Fatale, forever attempting to catch Moose and Squirrel.', 'was the cartoon rocky and bullwinkle successful', 'In 2013, Rocky and His Friends and The Bullwinkle Show were ranked the sixth-greatest TV cartoon of all time by TV Guide.']",5
What happened in 1941,The U.S. declared war on Japan after Pearl Harbor was attacked in 1941.,10804,2,"['What happened in 1940 during the Great Depression', 'U.S. began sending arms to Britain. Defense budget increased.  income tax rose to 81%. The economy grew 8.8%. Unemployment fell 14.6%. Prices rose 0.7%. The debt rose to $51 billion.']",4
what are the Halloween activities,"Halloween activities include trick-or-treating, attending Halloween costume parties, carving pumpkins into jack-o'-lanterns, lighting bonfires, apple bobbing, divination games, playing pranks, visiting haunted attractions,",7586,3,"['where did the idea of halloween come from', 'It is widely believed that many Halloween traditions originated from ancient Celtic harvest festivals, particularly the Gaelic festival Samhain; that such festivals may have had pagan roots', 'Is Halloween a Christian holiday', 'Some believe, however, that Halloween began solely as a Christian holiday, separate from ancient festivals like Samhain.']",5
who created residential schools,Residential schools were created by Christian churches and the Canadian government,7489,2,"['when were residential schools first established in canada', 'Although the first residential facilities were established in New France, the term, residential schools, usually refers to schools established after 1880']",4
has the pen knife evolved,"During the 20th century there has been a proliferation of multi-function knives with assorted blades and gadgets, including; awls, reamers, scissors, nail files, corkscrews, tweezers, toothpicks, and so on.",10369,5,"['what is the difference between a pen knife and a pocket knife', 'If a knife has 2 blades and they are pivoted at opposite ends, it is a penknife; if they are pivoted at the same end it is a pocket knife.', 'what was a pen knife first used for', 'Originally, penknives were used for thinning and pointing quills to prepare them for use as dip pens and, later, for repairing or re-pointing the nib.', 'what are pen knives used for today', 'Today he word penknife is the common British English term for both a pocketknife, which can have single or multiple blades, and for multi-tools, with additional tools.', 'how long is the blade of a penknife', 'A typical blade length for a penknife is 5 to 15 centimetres (2 to 6 in).']",5
Who suspended Mumia Abu-Jamal?,Benjamin Franklin High School suspended Mumia Abu-Jamal for distributing literature calling for black revolutionary student power.,5262,3,"[""What happened with Mumia Abu-Jamal's education and career?"", ""After attaining his GED, Mumia Abu-Jamal studied briefly at Goddard College and by 1975 Abu-Jamal was working in radio newscasting at Temple University's WRTI"", 'Where was Mumia Abu-Jamal suspended?', 'Mumia Abu-Jamal was suspended at Benjamin Franklin High School']",5
Was Adam Clayton married?,Adam Clayton got married in 2013.,1031,5,"['When did Adam Clayton become a part of U2?', 'Adam Clayton became a part of U2 in 1976.', ""How many members were in Adam Clayton's group U2?"", ""Adam Clayton's band U2 had five members."", 'Did Adam Clayton do any tours with U2?', 'Adam Clayton and U2 were part of the Zoo TV Tour.', ""Do you know any of U2's albums?"", ""Two of U2's albums are October and Zooropa.""]",5
