What is set aside for question periods in the debating chamber?,"['Parliamentary time', 'Parliamentary time', 'Parliamentary time']",45 minutes
How old was tesla when he became a US citizen?,"['35', '35', '35']",35
When did England formally declare war on France?,"['May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756', 'May 18, 1756']",20 May 1756
What is the name for a response of the immune system that damages the body's native tissues?,"['Hypersensitivity', 'Hypersensitivity', 'Hypersensitivity']",autoimmune disorder
For what purpose do organisms make peroxide and superoxide?,"['destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes', 'to destroy invading microbes', 'destroy invading microbes']",to kill invading microorganisms
A strike by what entity resulted in a halt to production for network programs in the 2007-2008 season?,"['Writers Guild of America', 'The Writers Guild of America', 'Writers Guild of America']",Writers Guild of America
What did Tesla work on in 1888?,"[""system to power the city's streetcars"", 'alternating current system', ""an alternating current system to power the city's streetcars""]",Electric transmission of power
To which year is the Gloucester Candlestick dated?,"['c1110', 'c1110', 'c1110']",1104-1113
What molecules act as defense signals?,"['salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species', 'reactive oxygen species']","hydrogen peroxide, jasmonic acid"
When did the Egyptian Islamic Jihad assassinate Anwar Sadat?,"['1981', '1981', '1981']",6 October 1981
What was the score for the 2015 NFC championship game?,"['49–15', '49–15', '49–15,']",28-22
In what episode did Dudley Simpson play a music conductor?,"['The Talons of Weng-Chiang', 'The Talons of Weng-Chiang', 'The Talons of Weng-Chiang']",The Talons of Weng-Chiang
Which parts of the Earth are included in the lithosphere? ,"['the crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle', 'crust and rigid uppermost portion of the upper mantle']",Mantle and crust
Photosynthesis uses which energy to for oxygen from water?,"['sunlight', 'sunlight', 'sunlight', 'the energy of sunlight', 'sunlight']",solar energy
In Latin America what is the most revered skin color?,"['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness']",White
What is the name of the latest epoch?,"['The Holocene', 'Holocene', 'The Holocene', 'Holocene']",Holocene
Who may introduce new laws or amendments to laws already on the books as a bill?,"['the Scottish Government', 'Scottish Government', 'the Scottish Government']",Members of Congress
How long did it take Johnson to respond to Kennedy?,"['approximately one week', 'one week', 'one week', 'one week', 'one week']",1 hour and 38 minutes
How many tons does the Hereford Screen weigh?,"['8', '8 tonnes', 'nearly 8']",8 tonnes
What kind of cell identifies pathogens when the antibodies on its surface complex with a specific foreign antigen?,"['B cell', 'B', 'A B cell']",T cell
How large are Cytoplasmic ribosomes?,"['25 nm', '25 nm', '25 nm']",180-200 Å
Who are likely participants in creating an overall plan for the financial management of the building construction project?,"['Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers', 'Mortgage bankers, accountants, and cost engineers']","contractors, project managers, lenders, and other stakeholders"
Who was this season's NFL MVP?,"['Cam Newton', 'Cam Newton', 'Cam Newton']",Patrick Mahomes
What type of discipline do critics want to see?,"['a more assertive and confrontational style', 'strict discipline', 'more assertive and confrontational']",aesthetics or the theory of beauty
How many teachers are usually involved when co-teaching?,"['two or more', 'two or more', 'two or more']",Two
On which date was Genghis Khan's palace rediscovered by archeaologists?,"['October 6, 2004', 'October 6, 2004', 'October 6, 2004']",6 October 2004
What Newcastle radio station is based at the Great North Children's Hospital?,"['Radio Lollipop', 'Radio Lollipop', 'Radio Lollipop']",Radio Lollipop
European imperialism was focused on what?,"['economic growth', 'economic growth', 'economic growth', 'economic growth', 'economic growth']",economic growth and acquiring territory outside of Europe
What percentage of Australia's dairy cattle are found in Victoria?,"['60%', '60%', '60%']",37%
Survival needs such as income for food and shelter motivates what type of entrepreneurship? ,"['Necessity-based', 'Necessity-based entrepreneurship', 'Necessity-based']",Necessity entrepreneurship
What type of festival is The Northern Rock Cyclone?,"['a cycling festival', 'a cycling festival', 'cycling festival,']",Cycling festival
What coalition rose up to oppose Louis XIV's France?,"['League of Augsburg', 'League of Augsburg', 'League of Augsburg']",Grand Alliance
In what year did the film also mention the number of regenerations?,"['1996', '1996', '1996']",1976
What kind of memory was Tesla thought to have?,"['photographic memory', 'photographic', 'photographic']",Photographic memory
What band headlined half-time during Super Bowl 50?,"['Coldplay', 'Coldplay', 'Coldplay']",Coldplay
How many homes had BSkyB's direct-to-home satellite service available to them in 2010?,"['10 million', '10 million', '10 million']",10 million
What applies to equally to constant velocity motion as it does to rest.,"['Inertia', 'Inertia', 'Inertia', 'Inertia', 'Inertia']",Newton's First Law of Motion
How much can Ctenophores eat in one day?,"['ten times their own weight', 'ten times their own weight', 'ten times their own weight']",up to 10 times its weight per day
Which two leading roles did Audra McDonald perform when she was in high school?,"['Evita and The Wiz', 'Evita and The Wiz', 'Evita and The Wiz']",Several musicals
When was the Britain Can Make It exhibition held?,"['between September and November 1946', 'between September and November 1946,', 'between September and November 1946']",autumn of 1946
Why has the corruption not be in the public view?,"['Because the operations of the armed forces have been traditionally cloaked by the ubiquitous blanket of “state security”', 'state security', 'state security']",It does not account for public funds.
In lands attributed to what tribe are found remains of large settlements?,"['Xingu tribe', 'Xingu', 'Xingu']",Navajo Nation
How many Victorians are non-religious?,"['20%', '20%', '20%']",38.9%
What did the increase in skilled workers lead to?,"['a decrease in the price of skilled labor', 'decrease in the price of skilled labor', 'decrease in the price of skilled labor']",Economic productivity
When was the last episode of the original series?,"['6 December 1989', '6 December 1989', '6 December 1989']","June 3, 1969"
"In a progressive tax, what increases as the taxable base amount increases?","['the tax rate', 'tax rate', 'tax rate']",average tax burden
What is a recent civil disobedience done in a group form?,"['refuse to sign bail', 'collectively refuse to sign bail until certain demands are met', 'some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met', 'jail solidarity']",Protests
What experiences acceleration when external force is applied to a system?,"['center of mass', 'center of mass', 'the center of mass', 'the center of mass', 'the center of mass']",An object
"New cameras were introduced for the game, what degree of view do they provide viewers?","['360-degree', '360', '360']",45-degree angle
What is usual form of oxygen bound compounds?,"['oxides', 'oxides', 'oxides', 'oxides', 'oxides']",oxyhemoglobin
What actually causes rigidity in matter?,"['the Pauli exclusion principle', 'the Pauli exclusion principle', 'Pauli exclusion principle', 'Pauli exclusion principle']",Strong interatomic forces
What titles are the President given?,"['the head of state and head of government', 'head of state and head of government', 'head of state and head of government']","""Mr. President"" and ""Madam President"""
Why were Johann Esch and Heinrich Voes executed by the Catholic Church?,"['for Lutheran views', 'Lutheran views', 'Lutheran views,']",adherence to Reformation doctrine
What did Gano hit on his 44-yard field goal attempt?,"['the uprights', 'the uprights', 'uprights']",Upright
What did Luther think that faith could not be understood by?,"['reason', 'reason', 'human reason']",anything else
When did the Channel 4 documentary Undercover Mosque air?,"['2007', '2007', '2007']","January 15, 2007"
Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super Bowl LVI
In what year did ABC stylize it's logo as abc?,"['1957', '1957', '1957']",1962
Who was responsible for the glass balustrade on the staircase and mezzanine in the main gallery?,"['Danny Lane', 'Danny Lane,', 'Danny Lane']",Danny Lane
The Brotherhood's members are against consuming what beverage?,"['alcohol', 'alcohol', 'alcohol']",alcohol
What pope as a native of Poland?,"['John Paul II', 'John Paul II', 'John Paul II']",John Paul II
When large groups of people all boycott a system or don't pay taxes it can be considered?,"['coercive', 'civil disobedience', 'coercive', 'coercive', 'civil disobedience']",Tax resistance
Why is the collection dominated by fashionable clothes made for special occasions?,"['Because everyday clothing from previous eras has not generally survived', 'Because everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived', 'everyday clothing from previous eras has not generally survived']",Conceptual collections
What right do private schools have that public schools don't?,"['to select their students', 'select their students', 'select their students']","Limit speech, free exercise of religion"
How many major bus stations are in the city of Newcastle?,"['two', 'two', 'two']",Four
What part of the Earth is composed of mostly of silicates of iron and magnesium?,"[""Earth's mantle"", ""The Earth's mantle"", 'mantle', ""The Earth's mantle"", 'mantle']",lower mantle
How did Natives in Logstown take Celeron's information?,"['informed Céloron that they owned the Ohio Country and that they would trade with the British regardless of the French', 'informed Céloron that they owned the Ohio Country and that they would trade with the British', 'they owned the Ohio Country', 'they owned the Ohio Country and that they would trade with the British regardless of the French']","They were assured that the Indians and the English ""were brothers"""
What rift system developed in the Alpine orogeny?,"['N–S', 'N–S', 'N–S rift system']",The European Cenozoic Rift System
What day of the week was Media Day held on for Super Bowl 50?,"['Monday', 'Monday', 'Monday']",Monday
What entity did Tesla believe would not be able to solve the problems of the time?,"['League of Nations', 'the League of Nations', 'League of Nations']",Destroying
"What is the theory that this King's name is the origin of ""Huguenot"" called?","['The ""Hugues hypothesis""', '""Hugues hypothesis""', 'Hugues hypothesis']",Hugues hypothesis
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","12,500"
What is the southern region where protestants are concentrated?,"['Cévennes', 'Cévennes', 'Cévennes mountain region']",The Bible Belt
When did the attack occur in which the Normans impressed Prince Guaimar III occur?,"['999', 'In 999', '999']",1026
Which theory states that Earth's features remained unchanged after forming in one single catastrophic event?,"['catastrophism', 'catastrophism', 'catastrophism']",Catastrophism
What can result in more equal distribution of income?,"['steeper tax', 'social spending', 'steeper tax progressivity']","progressive taxes, welfare systems, education, healthcare, minimum wage laws"
The Center in Paris is located near what river?,"['Seine', 'Seine', 'the Seine']",River Seine
Whose theory was the theory of continental drift?,"['Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener']",Alfred Wegener
What could inverted repeats help do?,"['stabilize the rest of the chloroplast genome', 'stabilize the rest of the chloroplast', 'help stabilize the rest of the chloroplast genome']",Self-complementary base pairing
What are incompetent government's commitment to social justice limited to?,"['rhetoric', 'rhetoric', 'rhetoric']",Generalized subsidies or transfers
What is the grace that we receive by faith and trust in God?,"['Justifying Grace or Accepting Grace', 'Justifying Grace or Accepting Grace', 'Justifying Grace']",Undeserved favor
In what year was the ordination order of transitional deacon abolished?,"['1996', '1996', '1996']",1996
When was the outbreak of World War I?,"['August 1914', 'August 1914', 'August 1914']","July 28, 1914"
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","['Josh Norman', 'Josh Norman', 'Norman']",Corey Brown
What type of system did Tesla suggest to Adams?,"['two-phased system', 'a two-phased system', 'two-phased system']",Two-phased system
"Who taped video intros for Doctor Who shows in Canada, that included a trivia question?","['Christopher Eccleston', 'Christopher Eccleston', 'Christopher Eccleston']",David Attenborough
What major event U.S. occurred that made the BBC delay the broadcast?,"['the assassination of US President John F. Kennedy', 'assassination of US President John F. Kennedy', 'the assassination of US President John F. Kennedy']",9/11 attacks
What was the name of Temüjin's wife Börte's first son?,"['Jochi', 'Jochi', 'Jochi']",Jochi
What resolution were the cameras increased to for the game?,"['5K resolution', '5K', '5K']",128x128 pixels
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,"['Kuchlug', 'Kuchlug', 'Kuchlug']",Kuchlug
What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,"['graph isomorphism problem', 'the discrete logarithm problem', 'graph isomorphism problem, the discrete logarithm problem and the integer factorization problem']",Graph isomorphism problem
In what year was the Great Internet Mersenne Prime Search project conducted?,"['In 2009', '2009', '2009', '2009', '2009']",1996
Who was sacked as the first half clock expired?,"['Newton', 'Newton', 'Newton']",Kyle McCord
Why did oil start getting priced in terms of gold?,"[""oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased."", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased""]",falling value of the dollar
What was the final score of the game between the Panthers and the Seahawks?,"['31–24', '31–24', '31–24']",37-27
WHat were features of Apple Talk ,"['that allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server']",No setup needed
What danger did the IPCC understate?,"['projected rises in sea levels', 'rises in sea levels', 'projected rises in sea levels']",Climate change
Who is the current Governor of Victoria?,"['Linda Dessau', 'Linda Dessau', 'Linda Dessau']",Margaret Elaine Gardner
How quick was the effect of Luther's preaching?,"['immediate', 'immediate', 'immediate']",Within a year
How many interceptions did Aqib Talib have for the regular season?,"['three.', 'three', 'three']",35
What did John Dobson describe Newcastle as?,"[""England's best-looking city"", ""England's best-looking city"", ""England's best-looking city""]",a city with a village atmosphere
Tumors that are able to evade the body's immune response can become what?,"['cancers', 'cancers', 'cancers']",Overt clinical cancer
Which sitcom produced a spinoff for ABC after ending its run in 1984?,"[""Three's Company"", ""Three's Company"", ""Three's Company""]",Three's Company
"Normally silver, what color was used for the number 50?","['gold', 'gold', 'gold']",Gold
When did Kibaki and Odinga sing an agreement on the formation of government?,"['28 February 2008', '28 February 2008', '28 February 2008']","February 28, 2008"
What radio station did the Doctor Who theme reach the charts on in 2011?,"[""Classic FM's Hall of Fame"", 'Classic FM', ""Classic FM's Hall of Fame""]",UK iTunes Top Songs chart
How many quadrangles does the Main Quadrangles have?,"['six', 'six quadrangles', 'six', 'six']",One
How much of the population in the Middle East died of the plague?,"['about a third.', 'about a third', 'about a third']",33%
What did Charles Parsons invent?,"['the steam turbine', 'the steam turbine', 'the steam turbine']",Multi-stage steam turbine
In what year was the Alan Turing's definitional model of a computing device received?,"['1936', '1936', '1936']",1936
How many research institutes does the university run on campus?,"['12', '12', '12']",Over 60
When did Henry issue the Edict of Nantes?,"['1598', '1598', '1598']","April 13, 1598"
What was the age difference between Newton and Manning in Super Bowl 50?,"['13 years and 48 days', '13 years and 48 days', '13 years and 48 days']",13 years and 48 days
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"['The Broncos', 'Denver', 'Denver']",Baltimore Ravens
What was the Henry Cole Wing previously called?,"['School for Naval Architects', 'the science schools', 'School for Naval Architects']",Huxley Building
Which company has been able to air multiple ads at a steep discount?,"['Anheuser-Busch InBev', 'Anheuser-Busch InBev', 'Anheuser-Busch InBev']",Amazon
What did Gasquet think the plague was?,"['some form of the ordinary Eastern or bubonic plague', 'bubonic plague', 'ordinary Eastern or bubonic plague']",some form of the ordinary Eastern or bubonic plague
Who created the code that governed military and civilian conduct in the Mongol Empire?,"['Genghis Khan', 'Genghis Khan', 'Genghis Khan']",Genghis Khan
Why was the Rhine regulated? ,"['constant flooding', 'constant flooding and strong sedimentation', 'to counteract the constant flooding and strong sedimentation in the western Rhine Delta', 'to counteract the constant flooding and strong sedimentation']",prevent flood disasters
What was the population of the Dutch Republic before this emigration?,"['ca. 2 million', '2 million', '2 million']",1.5 million
How many customaries does Norman customary law have?,"['two', 'two', 'two']",Two
What kind of climate does southern California maintain?,"['Mediterranean', 'a Mediterranean climate', 'Mediterranean']",Mediterranean climate
What does AC stand for?,"['alternating current', 'alternating current', 'alternating current']",Alternating Current
EM,,0.25157232704402516
F1,,0.3639100635674491
elapsed time,,9.78685444106096
