Question,Answer,Level,Question Length
"The Bodie & Benton Railway was a narrow gauge common carrier railroad in California, from the Mono Mills to a terminus in a ghost town located how many miles away from Lake Tahoe ?",75 mi,hard,35
"Hudson Austin formed a military government with himself as chairman to rule Grenada, after the killing of a Grenadian politician who was the leader of what movement that was an effort in the areas of socio-economic development, education, and black liberation?",New Jewel Movement,hard,45
"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",1957,hard,34
"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,hard,40
"Out of two American colonies that had a series of skirmishes and raids between 1701 and 1765 at the disputed border, which British proprietary colony became a royal colony on the northeast coast of North America?",Province of New York,hard,38
House of Many Ways is a young adult fantasy novel set in the same world as a novel that was adapted as an animated film of the same name and nominated for what?,Academy Award for Best Animated Feature,hard,34
"The ""New York Times"" bestselling book ""The 50th Law"" contains lessons and anecdotes from this historical figure who was a classical Greek (Athenian) philosopher who is known mainly through the writings of which philosopher?",Plato,hard,41
Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,hard,34
"The Fast On-orbit Rapid Recording of Transient Events (FORTE) was co-developed and launched by this lab located a short distance northwest of Santa Fe, New Mexico that was involved with which nuclear weapon program during World War II?",Manhattan Project,hard,42
Jullian Allen a Brittish-American Illustrator had some of his Illustration published appear in Queen magazine. In 1970 the magazines name was changed to Harper's and Queen. What is the name of the magazine now ?,Harper's Bazaar,hard,38
"Which tournament, organised by the Professional Darts Corporation, is planned to finish at the multi-purpose indoor arena located in the centre of The O2 entertainment complex on the Greenwich Peninsula in south-east London?",2018 Unibet Premier League Darts,hard,36
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",The Panther,hard,45
"How many Grammy Award nominations has the musician who Graham Maby has recorded and toured with since his first album, and whose first release was ""Is She Really Going Out with Him"", won?",5,hard,38
"Which of the seven Disney characters who had been given a series of their own, starring in cartoons who opened with their own logo  is a fictional character who first appeared in Disney's ""Pinocchio""?",Figaro,hard,39
"What is the first name of the woman who, like Tryphosa Bates-Batcheller, was criticised for being publicly tolerated as a singer due to her wealth, despite a lack of talent?",Narcissa,hard,34
 Ruffin Horne McNeill Jr. an American football coach was named interim head coach after the suspension of a head coach that lead the team to winning seasons in every year of his what?,tenure,hard,34
"What was the middle name of the actress who was cast alongside Harvey Fierstein, Linda Hart, Dick Latessa, Clarke Thorell, Mary Bond Davis, Laura Bell Bundy, Matthew Morrison, Corey Reynolds, and Marissa Jaret Winokur in Hairspray?",Marie,hard,45
"The actor who plays the grown version of Emma Swan's son, from ""Once Upon a Time"", also plays what character in the television show ""The Walking Dead""?",Gareth,hard,35
Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?,Saint-Domingue,hard,36
" Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?",Betty Cohen,hard,36
"What type of development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines?",SM Lifestyle Cities,hard,34
"Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club, and was held at what location in Melbourne in 1945?",Princes Park,hard,37
"In which 2017 film did this South Korean actor of  ""Dream High"" (2011) and the 2012 South Korean television drama series featuring Han Ga-in, Jung Il-woo and Kim Min-seo appeared in 2017?",Real,hard,38
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,Edith Louisa Cavell,hard,35
"In the USA, a tobacconist, also called a tobacco shop or smoke shop, is traditionally represented by which advertisement figure, that is often a three-dimensional wooden sculpture several feet tall?",wooden Indian,hard,35
"Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",Ant-Man,hard,41
"When was the German actress born who is best known for her role as the Borg Seven of Nine and who has role in  ""Body of Proof"" as Dr. Kate Murphy?","February 22, 1968",hard,34
"Ithihasa and the Indian music composer of  ""Chronic Bachelor"", ""Udayananu Tharam"", ""Naran"", ""Puthiya Mukham,"" ""Urumi"", ""Grandmaster"" and ""Bhaskar the Rascal"" are known in what type of films/cinema?",Malayalam,hard,47
"The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?",Brent Burns,hard,44
"Who is the American singer-songwriter, who won an award for Best Female Video at the 2009 MTV Video Music Awards, and wrote a song for the 'AT&T Team USA Soundtrack'?",Taylor Swift,hard,36
"Which combat technique also known as Wushu Sanda, is the character of Wu Jing trained with in the 2006 Hong Kong martial arts film, written, produced and directed by Dennis Law.",Sanshou (Wushu Sanshou),hard,35
What is the birthdate of this Norwegian professional footballer who plays as an attacking midfielder and who broke the record for the youngest player that has ever played in the Norwegian top league?,17 December 1998,hard,34
"How often do trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City?",24 hours a day and 7 days a week,hard,35
"What was the name of the Danish musician who died in 1931 and who composed String Quartet No. 4 in F major or Quartet for Two Violins, Viola and Cello in F major, Opus 44 ?",Carl August Nielsen,hard,39
"Rynella is an unincorporated community named after the daughters of a conservationist who presided of the maker of a brand of hot sauce made from vinegar, salt and what kind of peppers? ",tabasco peppers,hard,34
"Who was the another star in the television series Ma Boy who worked with the South Korean actress who began her career as a child actress in 2006 and initially gained public attention for ""Moon Embracing the Sun"" (2012)?",Sun Woong,hard,44
"In the Cherokee Rose episode of ""The Walking Dead,"" the character that continues to search for Sophia Peletier is portrayed by an actor who is also famous for his work in what company's advertisements?",Prada,hard,39
"High School Confidential, an eight part documentary followed twelve high school teenagers from a high school in Overland Park, Kansas that ranked what in the 2009 Newsweek ranking of the top 1,500 high schools in the United States?",#364,hard,41
"Of which painting was this German dancer, actress, and writer who lived during the Weimar period and appeared in the 1918 German silent drama film ""The Story of Dida Ibsen"" the subject?",an Otto Dix painting,hard,37
Sudha Kheterpal who is  musician best know as the percussionist in Faithless has played with what singer who is recognized at the highest-selling Australian artist of all time by the Australian Recording industry Association?,Kylie Ann Minogue,hard,35
"The Look of Love"" is a popular song which appeared in the 1967 spoof James Bond film ""Casino Royale"", a film based on the novel of the same name by which author?",Ian Fleming,hard,37
"What time did a Fox News show formally hosted by the author of ""The Swamp: Washington's Murky Pool of Corruption and Cronyism and How Trump Can Drain It"" air?",Saturdays at 11:30 am ET,hard,34
"New Hampshire Route 124 runs between two regions, one of which is found in Cheshire County, New Hampshire, United States with the population of about 2000 and is named what?",Marlborough,hard,34
"Mr. Wilson's Cabinet of Wonder: Pronged Ants, Horned Humans, Mice on Toast, and Other Marvels of Jurassic Technology is a book about a museum that is located in which city ?",Los Angeles,hard,36
"The brewing company known for making Genny Light, a beer with only 100 calories per 12 ounce portion, and located along the Genesee River, was formerly known by what brewery name?",High Falls Brewery,hard,35
"What is the nick name of this former American professional football player who played as a linebacker for the Seattle Seahawks in the National Football League (NFL) and appeared on the American detective television ""Lawless?""",The Boz,hard,40
The second studio album by The D.O.C was named as a reference to Charles Manson's idea of a Beatles' song which was a product of McCartney's attempt to create what kind of sound?  ,as loud and dirty as possible,hard,37
"What years did Jose Gonzalo Rodriguez Gacha and other leaders of fthe Medallin Cartel operate in Boliva, Colombia, Central America, Peru, the United States, Canada, and Europe?",1970s and 1980s,hard,34
The German geographer and geopolitician Otto Maull was part of a team led by Haushofer whose close associate was a prominent politician in Nazi Germany born in 1894 who served under Hitler in 1933 as what capacity?,Appointed Deputy Führer,hard,38
"In addition to Jennifer Tilly, Brian Backer, Sally Kellerman, Nedra Volz, Clara Peller, Wendie Jo Sperber and the actor born on June 22 1958 in Wilmette, Illinois, who else starred in Moving Violations?",Fred Willard,hard,41
What corporation does the company that publishes the monthly magazine that focuses almost exclusively on the Western United States and featured photograph by Julius Shulman of a home designed by Rodney Walker belong to?,Southern Progress Corporation,hard,35
"Having written singles for several country acts, including Randy Travis, Blake Shelton, and Keith Whitley, what singer song writer achieved his 3rd No 1 single by writing ""Always and Forever""?",Paul Overstreet,hard,37
"Aside from the all-NBA third team member in 1995 who was also a three-time NBA All-Star and the NBA Sixth Man of the Year twice, which other two players were selected for the 1997 NBA All-Star Game from the Seattle SuperSonics?","Gary Payton, Shawn Kemp",hard,43
"Although Michael Fincke's record was broken by Scott Kelly, commander of the International Space Station (ISS) on Expeditions 26, 45, and 46, what was his record for the most time in space?",381.6 days,hard,40
What is the date of the reissue of one of Rhihanna's album that features three newly recorded songs and a DVD showing exclusive behind-the-scenes footage of Rihanna's worldwide tour that was the second overall and first world concert tour by Rihanna?,"June 2, 2008",hard,44
"In addition to Syosset Central, Half Hollow Hills Central, and the school district that has Henry L. Grishman as its superintendent, what other school district is near Hauppauge Union Free School District?",Commack School District,hard,36
"When was the judge born who made notable contributions to the trial of the man who tortured, raped, and murdered eight student nurses from South Chicago Community Hospital on the night of July 13-14, 1966?","June 4, 1931",hard,39
"This American is best known for his work on such Disney animated films as ""Beauty and the Beast"" and a 1996 American animated musical drama film whose plot centers on who?",Quasimodo,hard,34
"Rowland Salley's best-known tune is ""Killing the Blues"", which has been most recently covered by which American singer-songwriter active mainly in the outlaw country music and Southern rock genres?",Shooter Jennings,hard,34
"Who was the singer of the song that held the record for most weeks spent at number one by a female country artist until it was surpassed by the the one named second best song of 2012 by ""Rolling Stone Magazine""?",Connie Smith,hard,44
"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp,hard,40
"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",The Tempest,hard,57
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen,hard,36
"Lost Kingdom Adventure is a dark ride located at four Legoland theme parks, including which park, which is the original Legoland park, that was opened on June 7th, 1968?",Legoland Billund,hard,34
"Jessica Jones is a television series created for Netflix, the second in the series of the shows that lead to ""The Defenders"" miniseries after what show released on Netflix earlier?",Daredevil,hard,34
"Which Austrian and later American chess master who was also a highly influential writer and chess theoretician competed for the first contest  that was defined ""in advance"" as being for the world championship?",Steinitz,hard,36
"Which band did this American businessman, music publisher, writers' representative, filmmaker and record label executive manage while simultaneously managing this group of the album ""More Hot Rocks?""",the Beatles,hard,34
"Vices and Virtues, coincidentally released just four days after ""Vices & Virtues"" by Las Vegas band Panic! at the Disco, was the second studio album by which Canadian rock band?",Art of Dying,hard,36
"Which American artist, who also illustrated works by Bill Nye and George W. Peck, illustrated an 1876 novel by Mark Twain about a young boy growing up along the Mississippi River?","Truman W. ""True"" Williams",hard,34
"Which ""The Chronicles of Narnia"" character is prominently featured in ""The Lion, the Witch and the Wardrobe"" and is a close friend with Lucy Pevensie whom she meets in the Lantern Waste.",Mr. Tumnus,hard,38
"What is the name of  rocker, who was awarded ""Rock Goddess of the Year"" in the Annual Loudwide Music Awards, who sang with high pitched screams in her band's albums?",Maria Brink,hard,36
"The College of Arts and Sciences of Ohio University is located on the university's central quadrangle lawn, which sits aligned to the cardinal directions, with what building facing true north?",Manasseh Cutler Hall,hard,34
What was the nickname of the author of the comic strip on which a a 2015 American 3D computer-animated comedy film produced by Blue Sky Studios and distributed by 20th Century Fox was based?,Sparky,hard,35
Who composed the theme music in 1989 of an animated television series which has the current arrangement by a person who  has scored or orchestrated music for more than 30 films and television shows?,Danny Elfman,hard,35
"Rex Salas is an American record producer who worked with an American singer and actress who has been described as embodying female autonomy in a male-dominated industry, and is sometimes referred to as what?",Goddess of Pop,hard,36
"What year did the Jang Hoon directed film, starring Song Kang-ho in the title role and selected as the South Korean entry for the Best Foreign Language Film at the 90th Academy Awards, debut?",2017,hard,37
"Which male singer performed together with a female American singer, who was born in 1954 and whose third studio album was named Through His Eyes, have a hit duet with in 1985?",Phil Collins,hard,35
"The lead vocalist of the group ""Tenacious D"" plays a supporting role along with Dennis Leary and Will Patton in a film that received what award at the 1999 Venice Film Festival?",Ecumenical Award,hard,35
"At which rank did the American author, military historian, illustrator and painter, born in 1913, who survived the surprise military strike by the Imperial Japanese Navy Air Service against the United States finally retire?",Colonel,hard,39
"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingram, pay for, before being drafted 18th overall pick for the New Jersey Nets?",Stanford University,hard,38
A man known as one of the most brutal pro-Confederate guerrilla leaders in the American Civil War had a following that included a bank and train robber from western Missouri raised in what area?,Little Dixie,hard,35
"The man Tony Bennet called ""The Father of Rock and Roll"" once toured with what singer who once auditioned for ""Junior Junction"", and landed a recording contract in her teens?",Lola Dee,hard,36
"In addition to Richard Strauss, Luigi Nono, Krzysztof Penderecki, Joaquín Rodrigo, and the German composer whose known for ""Das Marienleben"", what other composers have been represented by ESZ since the 1950s?","Igor Stravinsky, Carl Orff",hard,39
"Which nationality is the international footballer, born 20 March 1984, who made his breakthrough La Liga debut in the 2002–03 Atlético Madrid season, scoring 13 league goals as a teenager?",Spanish,hard,34
"How many episodes were in the 23rd season of a Fox network show which, in it's twenty-second season, aired it's twenty-first episode which was written by John Frink and directed by Bob Anderson.",22 episodes.,hard,38
"What was the book that was centered around a rule that is expressed algebraically, or quantities ""a"" and ""b"" with ""a"" > ""b"" > 0?","The Story of Phi, the World's Most Astonishing Number",hard,35
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be,hard,44
"John Michael Montgomery has had more than 30 singles on the ""Billboard"" country music charts, but what single from his fourth studio album What I Do the Best never reached the top ten on the Hot Country Songs charts?","""Ain't Got Nothin' on Us""",hard,43
"""The Simpson's"" episode featuring the  ""Itchy & Scratchy & Poochie"" show satirized the world of television production just as the episode featuring the ""Itchy & Scratchy & Marge"" satirized what type of issue?",censorship,hard,41
Leo A. Harris was also known for his handshake deal with Walt Disney that permitted the University of Oregon to use the likeness of what cartoon character created in 1934 at Walt Disney Productions?,Donald Duck,hard,35
"David Wayne Hull (born 1962 or 1963) is a leader of which group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard?",White Knights,hard,35
"Ist das Ihr Fahrrad Mr O’Brien? is a German biographical radio play about life, works and legacy of an Irish novelist whose many satrical columns were written under what name?",Myles na gCopaleen,hard,35
"When was the Indian film actor, producer and playback singer born who debut with the 2000 War film, ""Refugee"" and had lead role in Main Prem Ki Diwani Hoon?",5 February 1976,hard,34
"The song by English indie rock band Florence and the Machine written by Florence Welch and Francis ""Eg"" White and released in 2011 is named after the painting which was completed in which year?",1938,hard,37
"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",James Weldon Johnson,hard,48
"What is the name of the actress who played as Blair Cramer from the daytime drama series ""One Life to Live"" for 20 years who is also currently playing as Eve Donovan on ""Days of Our Lives""?",Kassie DePaiva,hard,42
"In ""Bon Cop, Bad Cop"", Canadian actor Rick Howland played the role of Harry Buttman (a parody of Gary Beltman), who is the current commissioner of what National sports league? ",National Hockey League (NHL),hard,38
"What was a series of battles during the Revolutionary War, for control of New York City and the state of New Jersey, fought on October 28, 1776 near White Plains, New York?",New York and New Jersey campaign,hard,37
"A pakistani photogropher was the personal photographer of a Pakistani politician who served as Prime Minister of Pakistan from 1973 to 1977,and who also served in what political office prior to that?",President of Pakistan,hard,35
"The extended play (EP) ""Calibraska"" by the American pop-rap duo Jack & Jack, known for their 2014 single ""Wild Life,"" is a portmanteau of what two U.S. states?","Nebraska, where the duo originate, and California, where they are now based",hard,37
"During the 2012-13 Blackppol F.C. season, their top scorer was what English professional footballer who plays as wither an attacking midfielder, winger, or forward for Premier League club Huddersfield Town?",Thomas Christopher Ince,hard,35
"""Show 'Em (What You're Made Of)"" is a song written by a group of people including an American singer/songwriter who was inducted into what on April 10, 2015?",Kentucky Music Hall of Fame,hard,35
"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""",hard,42
"The American comedy film Krystal stars which actor who appeared in numerous films such as ""Contact"", ""Armageddon"", ""The Perfect Storm"", ""Crash"", ""Blades of Glory"", ""Black Hawk Down"", ""Nine Lives"", etc.?",William Fichtner,hard,53
"Although he mostly provided backing vocals as part of this group, Mark Owen's first single ""Four Minute Warning"" released on 4 August 2003, was once part of this English pop music group.",Take That,hard,38
"In which year was the American politician, that both represented New York in the United States Senate and served as an adviser to President Richard Nixon, re-elected for a fourth term as U.S. Senator?",1994,hard,38
"Who was the wife of the United States Army lieutenant general who received the Distinguished Service Cross, and was the first of his West Point class to be promoted to brigadier general, major general, and lieutenant general",Julia Compton Moore,hard,40
High Water is a song by Bob Dylan it was based on the 1927 Lousiana Flood. Another song recorded by Dylan about the event is When the Levee Breaks who is the Husband and Wife team that wrote and recorded this song in 1929 ?,Joe McCoy and Memphis Minnie,hard,46
"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Flavivirus,hard,38
"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",Patrick Swayze,hard,38
"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",Charles L. Clifford,hard,34
"Who is this American cartoonist, writer, producer, animator, and voice actor that worked with this multiple Shuster Award, Harvey Award and Eisner Award nominee and an Eisner Award–winning comic book creator?",Matt Groening,hard,37
What is the name of the US battleship best know for the setting of the film Under Siege and the site of the surrender of the Empire of Japan to end World War II?,"U.S. Navy battleship USS ""Missouri""",hard,35
"Which of the fighter in Battle of Gavinana was created in 1422, and came to an end when the Holy Roman Empire was wound up in 1806, as the result of the Napoleonic Wars?",Army of the Holy Roman,hard,37
Who was the king of England who became king after the death of his younger brother and whose reign was chaotic due to rivalry with relatives until his own death a few decades later?,Stephen of Blois,hard,35
"In which year was the author born that wrote about  the former succubus Jezebel, now the mortal Jesse Harris, as she tries to avoid her Hellish past and learn how to be truly human?",1970,hard,37
"Which player, who also played for the New Jersey Nets and the Golden State Warriors, finished third in the league with 231 three-point field goals during the 1995-96 Atlanta Hawks season?",Mookie Blaylock,hard,34
Until what year did the Chief of Justice of the Supreme Court that administered the presidential oath of office to Abraham Lincoln on his first inauguration as the 16th President of the United States hold that office?,1864,hard,38
